InvoiceNumber,SalesChannel,WarehouseLocationCode,ProcurementDate,SalesOrderDate,DispatchDate,DeliveryDate,Currency,SalesRepID,CustomerID,BranchCode,ProductCode,QuantityOrdered,DiscountRate,UnitSalePrice,UnitProductionCost
SO - 000137,Distributor,TEH1001,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-14 00:00:00,2018-06-21 00:00:00,IRR,7,2529,TBZ005,1018,1,0.075,261.3,120.198
SO - 000138,Distributor,TEH1001,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-28 00:00:00,2018-07-08 00:00:00,IRR,12,2516,TEH001,1005,8,0.05,998.3,698.81
SO - 000139,Distributor,TEH1001,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-13 00:00:00,2018-06-21 00:00:00,IRR,4,2975,ISF002,1027,6,0.2,3497.4,1958.544
SO - 000140,Direct Sales,ISF1002,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-18 00:00:00,2018-06-28 00:00:00,IRR,9,2970,MHD004,1098,4,0.05,1132.3,486.889
SO - 000141,Distributor,TBZ1004,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-15 00:00:00,2018-06-17 00:00:00,IRR,7,2513,SHZ003,1081,7,0.05,2405.3,1587.498
SO - 000142,Distributor,MHD1003,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-24 00:00:00,2018-07-03 00:00:00,IRR,24,2501,SHZ003,1078,8,0.05,5701.7,3249.969
SO - 000143,Distributor,TBZ1004,2017-12-31 00:00:00,2018-06-04 00:00:00,2018-06-09 00:00:00,2018-06-16 00:00:00,IRR,25,2622,SHZ003,1052,1,0.2,2452.2,1446.798
SO - 000144,Direct Sales,TBZ1004,2017-12-31 00:00:00,2018-06-04 00:00:00,2018-06-30 00:00:00,2018-07-04 00:00:00,IRR,11,2561,MHD004,1068,3,0.05,3095.4,2012.01
SO - 000145,Agency,TBZ1004,2017-12-31 00:00:00,2018-06-04 00:00:00,2018-06-12 00:00:00,2018-06-14 00:00:00,IRR,15,2623,SHZ003,1062,4,0.4,3865.9,2164.904
SO - 000146,Agency,ISF1002,2017-12-31 00:00:00,2018-06-04 00:00:00,2018-06-10 00:00:00,2018-06-15 00:00:00,IRR,23,2201,SHZ003,1091,8,0.1,2304.8,1382.88
SO - 000147,Direct Sales,TEH1001,2017-12-31 00:00:00,2018-06-04 00:00:00,2018-06-21 00:00:00,2018-06-24 00:00:00,IRR,17,2876,TEH001,1089,3,0.05,3195.9,1470.114
SO - 000148,Direct Sales,MHD1003,2017-12-31 00:00:00,2018-06-04 00:00:00,2018-06-19 00:00:00,2018-06-26 00:00:00,IRR,18,2745,ISF002,1021,7,0.05,6452.1,5161.68
SO - 000149,Online,TBZ1004,2017-12-31 00:00:00,2018-06-05 00:00:00,2018-06-14 00:00:00,2018-06-17 00:00:00,IRR,24,2985,TBZ005,1043,3,0.3,2003.3,921.518
SO - 000150,Agency,TEH1001,2018-04-10 00:00:00,2018-06-05 00:00:00,2018-06-28 00:00:00,2018-07-07 00:00:00,IRR,23,2082,SHZ003,1091,8,0.05,3638.1,1455.24
SO - 000151,Direct Sales,TEH1001,2018-04-10 00:00:00,2018-06-05 00:00:00,2018-06-14 00:00:00,2018-06-17 00:00:00,IRR,4,2016,ISF002,1098,3,0.075,2278,1822.4
SO - 000152,Online,TBZ1004,2018-04-10 00:00:00,2018-06-05 00:00:00,2018-06-25 00:00:00,2018-06-29 00:00:00,IRR,16,2493,TBZ005,1027,6,0.3,924.6,582.498
SO - 000153,Online,ISF1002,2018-04-10 00:00:00,2018-06-05 00:00:00,2018-06-21 00:00:00,2018-07-01 00:00:00,IRR,19,2512,ISF002,1093,5,0.05,3926.2,3062.436
SO - 000154,Direct Sales,MHD1003,2017-12-31 00:00:00,2018-06-05 00:00:00,2018-06-12 00:00:00,2018-06-18 00:00:00,IRR,23,2016,SHZ003,1031,4,0.075,3825.7,2257.163
SO - 000155,Agency,MHD1003,2017-12-31 00:00:00,2018-06-05 00:00:00,2018-07-03 00:00:00,2018-07-08 00:00:00,IRR,27,2730,MHD004,1056,3,0.05,2257.9,1377.319
SO - 000156,Online,MHD1003,2017-12-31 00:00:00,2018-06-06 00:00:00,2018-07-02 00:00:00,2018-07-08 00:00:00,IRR,24,2603,TEH001,1028,8,0.075,1112.2,756.296
SO - 000157,Online,TEH1001,2017-12-31 00:00:00,2018-06-06 00:00:00,2018-06-22 00:00:00,2018-06-23 00:00:00,IRR,19,2626,SHZ003,1062,8,0.05,3557.7,1814.427
SO - 000158,Agency,TEH1001,2017-12-31 00:00:00,2018-06-06 00:00:00,2018-06-09 00:00:00,2018-06-12 00:00:00,IRR,13,2577,TBZ005,1058,3,0.4,2371.8,1233.336
SO - 000159,Direct Sales,ISF1002,2017-12-31 00:00:00,2018-06-06 00:00:00,2018-07-01 00:00:00,2018-07-04 00:00:00,IRR,14,2105,TEH001,1042,1,0.4,857.6,686.08
SO - 000160,Direct Sales,ISF1002,2017-12-31 00:00:00,2018-06-07 00:00:00,2018-06-14 00:00:00,2018-06-16 00:00:00,IRR,11,2972,TEH001,1007,5,0.3,3892.7,2880.598
SO - 000161,Direct Sales,ISF1002,2017-12-31 00:00:00,2018-06-07 00:00:00,2018-06-13 00:00:00,2018-06-15 00:00:00,IRR,3,2847,MHD004,1031,6,0.075,3477.3,1390.92
SO - 000162,Direct Sales,MHD1003,2017-12-31 00:00:00,2018-06-07 00:00:00,2018-06-11 00:00:00,2018-06-21 00:00:00,IRR,13,2455,SHZ003,1001,5,0.1,3738.6,2803.95
SO - 000163,Agency,MHD1003,2018-04-10 00:00:00,2018-06-07 00:00:00,2018-06-10 00:00:00,2018-06-13 00:00:00,IRR,20,2009,SHZ003,1056,5,0.3,1072,589.6
SO - 000164,Distributor,TEH1001,2018-04-10 00:00:00,2018-06-07 00:00:00,2018-07-01 00:00:00,2018-07-02 00:00:00,IRR,5,2000,TBZ005,1081,7,0.05,2257.9,1761.162
SO - 000165,Agency,TEH1001,2018-04-10 00:00:00,2018-06-07 00:00:00,2018-06-11 00:00:00,2018-06-13 00:00:00,IRR,18,2425,SHZ003,1051,3,0.1,1058.6,751.606
SO - 000166,Distributor,TEH1001,2018-04-10 00:00:00,2018-06-07 00:00:00,2018-06-15 00:00:00,2018-06-25 00:00:00,IRR,13,2573,TEH001,1065,4,0.1,2492.4,1296.048
SO - 000167,Agency,TEH1001,2018-04-10 00:00:00,2018-06-07 00:00:00,2018-06-13 00:00:00,2018-06-21 00:00:00,IRR,4,2010,TBZ005,1073,5,0.05,3852.5,2465.6
SO - 000168,Distributor,ISF1002,2017-12-31 00:00:00,2018-06-08 00:00:00,2018-06-19 00:00:00,2018-06-25 00:00:00,IRR,23,2610,ISF002,1065,8,0.05,241.2,132.66
SO - 000169,Direct Sales,ISF1002,2017-12-31 00:00:00,2018-06-08 00:00:00,2018-06-11 00:00:00,2018-06-17 00:00:00,IRR,9,2716,MHD004,1048,2,0.15,1051.9,494.393
SO - 000170,Distributor,ISF1002,2017-12-31 00:00:00,2018-06-08 00:00:00,2018-06-14 00:00:00,2018-06-19 00:00:00,IRR,25,2850,SHZ003,1012,5,0.3,227.8,107.066
SO - 000171,Distributor,ISF1002,2018-04-10 00:00:00,2018-06-08 00:00:00,2018-06-14 00:00:00,2018-06-15 00:00:00,IRR,24,2752,ISF002,1042,5,0.05,1078.7,506.989
SO - 000172,Direct Sales,TEH1001,2018-04-10 00:00:00,2018-06-08 00:00:00,2018-06-13 00:00:00,2018-06-20 00:00:00,IRR,28,2760,TEH001,1036,8,0.15,1005,743.7
SO - 000173,Distributor,ISF1002,2018-04-10 00:00:00,2018-06-08 00:00:00,2018-07-03 00:00:00,2018-07-09 00:00:00,IRR,24,2325,ISF002,1053,5,0.05,2485.7,1317.421
SO - 000174,Distributor,MHD1003,2018-04-10 00:00:00,2018-06-08 00:00:00,2018-06-30 00:00:00,2018-07-06 00:00:00,IRR,3,2336,ISF002,1030,3,0.05,2659.9,2154.519
SO - 000175,Distributor,MHD1003,2018-04-10 00:00:00,2018-06-09 00:00:00,2018-06-28 00:00:00,2018-07-03 00:00:00,IRR,1,2134,MHD004,1021,1,0.075,2224.4,1579.324
SO - 000176,Direct Sales,TBZ1004,2018-04-10 00:00:00,2018-06-09 00:00:00,2018-06-12 00:00:00,2018-06-16 00:00:00,IRR,11,2793,ISF002,1003,7,0.2,2472.3,1260.873
SO - 000177,Direct Sales,TBZ1004,2018-04-10 00:00:00,2018-06-09 00:00:00,2018-06-23 00:00:00,2018-06-24 00:00:00,IRR,5,2409,MHD004,1034,5,0.05,1011.7,799.243
SO - 000178,Distributor,TEH1001,2018-04-10 00:00:00,2018-06-09 00:00:00,2018-07-05 00:00:00,2018-07-13 00:00:00,IRR,26,2641,ISF002,1076,6,0.2,234.5,128.975
SO - 000179,Distributor,TBZ1004,2018-04-10 00:00:00,2018-06-09 00:00:00,2018-06-14 00:00:00,2018-06-17 00:00:00,IRR,13,2029,MHD004,1040,4,0.075,261.3,143.715
SO - 000180,Direct Sales,TEH1001,2017-12-31 00:00:00,2018-06-09 00:00:00,2018-06-27 00:00:00,2018-07-01 00:00:00,IRR,18,2260,MHD004,1045,7,0.1,4006.6,2844.686
SO - 000181,Agency,TEH1001,2018-04-10 00:00:00,2018-06-09 00:00:00,2018-07-05 00:00:00,2018-07-13 00:00:00,IRR,3,2441,TEH001,1037,7,0.05,1333.3,866.645
SO - 000182,Distributor,TEH1001,2018-04-10 00:00:00,2018-06-10 00:00:00,2018-07-07 00:00:00,2018-07-09 00:00:00,IRR,10,2617,TEH001,1084,5,0.05,167.5,90.45
SO - 000183,Online,TEH1001,2018-04-10 00:00:00,2018-06-10 00:00:00,2018-06-28 00:00:00,2018-07-02 00:00:00,IRR,14,2969,TEH001,1064,7,0.075,3195.9,1821.663
SO - 000184,Direct Sales,MHD1003,2018-04-10 00:00:00,2018-06-10 00:00:00,2018-06-30 00:00:00,2018-07-05 00:00:00,IRR,20,2683,MHD004,1009,1,0.05,1051.9,809.963
SO - 000185,Online,ISF1002,2017-12-31 00:00:00,2018-06-10 00:00:00,2018-06-30 00:00:00,2018-07-03 00:00:00,IRR,15,2046,ISF002,1047,4,0.1,5447.1,3540.615
SO - 000186,Direct Sales,ISF1002,2018-04-10 00:00:00,2018-06-10 00:00:00,2018-06-16 00:00:00,2018-06-24 00:00:00,IRR,13,2186,MHD004,1061,2,0.075,3182.5,1973.15
SO - 000187,Distributor,MHD1003,2017-12-31 00:00:00,2018-06-11 00:00:00,2018-06-29 00:00:00,2018-07-01 00:00:00,IRR,6,2020,TEH001,1076,3,0.1,891.1,632.681
SO - 000188,Direct Sales,TEH1001,2017-12-31 00:00:00,2018-06-11 00:00:00,2018-06-16 00:00:00,2018-06-19 00:00:00,IRR,15,2064,MHD004,1017,2,0.2,3892.7,2724.89
SO - 000189,Online,TEH1001,2017-12-31 00:00:00,2018-06-11 00:00:00,2018-06-13 00:00:00,2018-06-16 00:00:00,IRR,13,2221,TEH001,1094,2,0.4,3953,3360.05
SO - 000190,Agency,ISF1002,2017-12-31 00:00:00,2018-06-11 00:00:00,2018-06-28 00:00:00,2018-07-07 00:00:00,IRR,20,2174,MHD004,1045,2,0.3,924.6,545.514
SO - 000191,Online,ISF1002,2018-04-10 00:00:00,2018-06-11 00:00:00,2018-07-07 00:00:00,2018-07-08 00:00:00,IRR,20,2269,TEH001,1093,7,0.3,3430.4,1989.632
SO - 000192,Agency,MHD1003,2018-04-10 00:00:00,2018-06-11 00:00:00,2018-06-28 00:00:00,2018-07-06 00:00:00,IRR,22,2258,TBZ005,1033,7,0.075,1152.4,622.296
SO - 000193,Online,TEH1001,2018-04-10 00:00:00,2018-06-11 00:00:00,2018-06-21 00:00:00,2018-06-24 00:00:00,IRR,21,2248,ISF002,1051,4,0.1,1085.4,922.59
SO - 000194,Distributor,TEH1001,2017-12-31 00:00:00,2018-06-12 00:00:00,2018-06-16 00:00:00,2018-06-22 00:00:00,IRR,5,2503,TBZ005,1006,5,0.1,5031.7,4025.36
SO - 000195,Distributor,MHD1003,2018-04-10 00:00:00,2018-06-12 00:00:00,2018-06-28 00:00:00,2018-07-03 00:00:00,IRR,24,2077,TEH001,1019,7,0.15,1092.1,436.84
SO - 000196,Online,TEH1001,2017-12-31 00:00:00,2018-06-12 00:00:00,2018-06-25 00:00:00,2018-06-27 00:00:00,IRR,27,2800,TBZ005,1076,7,0.05,187.6,144.452
SO - 000197,Agency,TEH1001,2017-12-31 00:00:00,2018-06-12 00:00:00,2018-07-09 00:00:00,2018-07-16 00:00:00,IRR,18,2426,TEH001,1045,4,0.05,3993.2,2835.172
SO - 000198,Online,TEH1001,2017-12-31 00:00:00,2018-06-12 00:00:00,2018-06-15 00:00:00,2018-06-18 00:00:00,IRR,14,2906,TBZ005,1029,5,0.05,2472.3,1433.934
SO - 000199,Direct Sales,ISF1002,2018-04-10 00:00:00,2018-06-12 00:00:00,2018-07-05 00:00:00,2018-07-14 00:00:00,IRR,4,2508,ISF002,1097,4,0.05,1206,844.2
SO - 000200,Direct Sales,MHD1003,2017-12-31 00:00:00,2018-06-12 00:00:00,2018-06-22 00:00:00,2018-06-29 00:00:00,IRR,20,2397,ISF002,1073,5,0.05,1728.6,985.302
SO - 000201,Distributor,TEH1001,2017-12-31 00:00:00,2018-06-12 00:00:00,2018-06-20 00:00:00,2018-06-29 00:00:00,IRR,28,2343,SHZ003,1001,7,0.075,1983.2,1447.736
SO - 000202,Direct Sales,ISF1002,2018-04-10 00:00:00,2018-06-12 00:00:00,2018-07-10 00:00:00,2018-07-14 00:00:00,IRR,20,2509,TEH001,1043,2,0.2,5313.1,2656.55
SO - 000203,Direct Sales,TBZ1004,2018-04-10 00:00:00,2018-06-12 00:00:00,2018-06-17 00:00:00,2018-06-25 00:00:00,IRR,20,2842,MHD004,1091,5,0.075,871,566.15
SO - 000204,Agency,MHD1003,2017-12-31 00:00:00,2018-06-13 00:00:00,2018-06-27 00:00:00,2018-07-01 00:00:00,IRR,12,2272,SHZ003,1097,2,0.1,2532.6,2051.406
SO - 000205,Online,TBZ1004,2018-04-10 00:00:00,2018-06-13 00:00:00,2018-06-25 00:00:00,2018-06-26 00:00:00,IRR,14,2074,MHD004,1065,4,0.075,5916.1,4673.719
SO - 000206,Online,ISF1002,2017-12-31 00:00:00,2018-06-13 00:00:00,2018-06-23 00:00:00,2018-07-01 00:00:00,IRR,13,2914,MHD004,1030,1,0.075,2887.7,1443.85
SO - 000207,Distributor,MHD1003,2017-12-31 00:00:00,2018-06-13 00:00:00,2018-06-20 00:00:00,2018-06-22 00:00:00,IRR,1,2369,TBZ005,1088,7,0.1,1855.9,1447.602
SO - 000208,Distributor,ISF1002,2018-04-10 00:00:00,2018-06-13 00:00:00,2018-06-17 00:00:00,2018-06-19 00:00:00,IRR,2,2705,ISF002,1069,5,0.1,207.7,135.005
SO - 000209,Agency,TBZ1004,2017-12-31 00:00:00,2018-06-13 00:00:00,2018-06-29 00:00:00,2018-07-06 00:00:00,IRR,2,2385,SHZ003,1032,3,0.05,1058.6,772.778
SO - 000210,Online,ISF1002,2018-04-10 00:00:00,2018-06-13 00:00:00,2018-07-03 00:00:00,2018-07-13 00:00:00,IRR,13,2593,TEH001,1095,7,0.1,958.1,517.374
SO - 000211,Online,TEH1001,2018-04-10 00:00:00,2018-06-13 00:00:00,2018-07-08 00:00:00,2018-07-18 00:00:00,IRR,6,2288,MHD004,1087,7,0.2,2659.9,1675.737
SO - 000212,Distributor,TEH1001,2017-12-31 00:00:00,2018-06-13 00:00:00,2018-07-05 00:00:00,2018-07-13 00:00:00,IRR,7,2806,SHZ003,1085,3,0.1,2217.7,1707.629
SO - 000213,Online,MHD1003,2017-12-31 00:00:00,2018-06-14 00:00:00,2018-06-17 00:00:00,2018-06-20 00:00:00,IRR,20,2739,SHZ003,1070,1,0.3,1715.2,857.6
SO - 000214,Agency,TEH1001,2018-04-10 00:00:00,2018-06-14 00:00:00,2018-07-06 00:00:00,2018-07-09 00:00:00,IRR,6,2055,MHD004,1063,7,0.15,3932.9,1691.147
SO - 000215,Direct Sales,TEH1001,2017-12-31 00:00:00,2018-06-14 00:00:00,2018-06-19 00:00:00,2018-06-20 00:00:00,IRR,2,2711,TEH001,1050,2,0.05,2546,1909.5
SO - 000216,Direct Sales,ISF1002,2017-12-31 00:00:00,2018-06-14 00:00:00,2018-06-26 00:00:00,2018-07-01 00:00:00,IRR,15,2851,TBZ005,1077,1,0.075,837.5,603
SO - 000217,Distributor,TEH1001,2018-04-10 00:00:00,2018-06-14 00:00:00,2018-06-26 00:00:00,2018-07-05 00:00:00,IRR,16,2024,SHZ003,1051,3,0.15,1809,1302.48
SO - 000218,Distributor,TBZ1004,2018-04-10 00:00:00,2018-06-14 00:00:00,2018-06-29 00:00:00,2018-07-03 00:00:00,IRR,26,2930,TBZ005,1030,8,0.075,857.6,514.56
SO - 000219,Online,TEH1001,2017-12-31 00:00:00,2018-06-14 00:00:00,2018-06-30 00:00:00,2018-07-07 00:00:00,IRR,8,2176,ISF002,1090,6,0.05,1748.7,1101.681
SO - 000220,Agency,TBZ1004,2017-12-31 00:00:00,2018-06-14 00:00:00,2018-06-16 00:00:00,2018-06-17 00:00:00,IRR,28,2397,TEH001,1008,1,0.075,1266.3,582.498
SO - 000221,Direct Sales,TBZ1004,2017-12-31 00:00:00,2018-06-14 00:00:00,2018-06-16 00:00:00,2018-06-22 00:00:00,IRR,3,2970,SHZ003,1075,5,0.1,5058.5,3591.535
SO - 000222,Agency,TBZ1004,2018-04-10 00:00:00,2018-06-14 00:00:00,2018-06-28 00:00:00,2018-07-06 00:00:00,IRR,22,2470,TEH001,1058,7,0.05,958.1,795.223
SO - 000223,Distributor,ISF1002,2017-12-31 00:00:00,2018-06-14 00:00:00,2018-07-10 00:00:00,2018-07-14 00:00:00,IRR,19,2262,MHD004,1033,8,0.15,1802.3,756.966
SO - 000224,Direct Sales,MHD1003,2018-04-10 00:00:00,2018-06-15 00:00:00,2018-07-07 00:00:00,2018-07-16 00:00:00,IRR,4,2409,TEH001,1022,4,0.075,6298,4534.56
SO - 000225,Agency,TBZ1004,2017-12-31 00:00:00,2018-06-15 00:00:00,2018-07-02 00:00:00,2018-07-06 00:00:00,IRR,18,2998,TEH001,1082,1,0.1,2499.1,1824.343
SO - 000226,Direct Sales,ISF1002,2018-04-10 00:00:00,2018-06-15 00:00:00,2018-06-19 00:00:00,2018-06-23 00:00:00,IRR,8,2871,TBZ005,1094,3,0.1,871,705.51
SO - 000227,Agency,MHD1003,2017-12-31 00:00:00,2018-06-15 00:00:00,2018-07-12 00:00:00,2018-07-18 00:00:00,IRR,1,2090,TEH001,1061,1,0.05,750.4,360.192
SO - 000228,Agency,ISF1002,2018-04-10 00:00:00,2018-06-15 00:00:00,2018-06-23 00:00:00,2018-06-27 00:00:00,IRR,27,2531,MHD004,1055,8,0.075,763.8,504.108
SO - 000229,Online,TBZ1004,2017-12-31 00:00:00,2018-06-15 00:00:00,2018-06-26 00:00:00,2018-07-02 00:00:00,IRR,5,2789,SHZ003,1083,6,0.1,844.2,565.614
SO - 000230,Online,TBZ1004,2018-04-10 00:00:00,2018-06-15 00:00:00,2018-07-05 00:00:00,2018-07-14 00:00:00,IRR,2,2703,TEH001,1095,7,0.05,261.3,112.359
SO - 000231,Agency,ISF1002,2017-12-31 00:00:00,2018-06-15 00:00:00,2018-07-06 00:00:00,2018-07-16 00:00:00,IRR,19,2013,TEH001,1061,2,0.05,3999.9,2359.941
SO - 000232,Agency,MHD1003,2017-12-31 00:00:00,2018-06-15 00:00:00,2018-06-25 00:00:00,2018-07-03 00:00:00,IRR,4,2361,SHZ003,1061,6,0.05,1112.2,811.906
SO - 000233,Agency,TBZ1004,2018-04-10 00:00:00,2018-06-15 00:00:00,2018-06-26 00:00:00,2018-07-04 00:00:00,IRR,10,2648,ISF002,1028,2,0.075,2633.1,1843.17
SO - 000234,Online,MHD1003,2017-12-31 00:00:00,2018-06-15 00:00:00,2018-07-09 00:00:00,2018-07-13 00:00:00,IRR,22,2091,ISF002,1064,6,0.2,1018.4,631.408
